k1             a1             c1             k2             a2             c2             k3             a3             c3             gamma1         gamma2         LogPost        b1             b2             b3             
   0.166703E+00   0.289823E+01   0.150334E+01   0.312956E+00   0.108281E+02   0.163915E+01   0.968936E+00   0.862149E+01    0.16258E+01   0.160234E-02   0.660476E-01   0.689421E+02   0.166703E+00    0.23621E+00   0.968936E+00
   0.161798E+00   0.249949E+01   0.147424E+01   0.309321E+00   0.112731E+02   0.170981E+01   0.898803E+00   0.119441E+02   0.166326E+01   0.235967E-02   0.685089E-01   0.677359E+02   0.161798E+00   0.229749E+00   0.898803E+00
   0.167961E+00   0.279578E+01   0.147294E+01   0.318897E+00   0.118436E+02   0.167871E+01   0.916804E+00   0.135816E+02   0.168817E+01   0.172267E-02    0.67388E-01   0.712411E+02   0.167961E+00   0.238366E+00   0.916804E+00
    0.16308E+00   0.287268E+01   0.154574E+01   0.307186E+00   0.117063E+02   0.168145E+01   0.927378E+00   0.127689E+02    0.16584E+01   0.225839E-02   0.680421E-01    0.69321E+02    0.16308E+00   0.234119E+00   0.927378E+00
   0.148102E+00   0.254516E+01   0.154497E+01   0.315399E+00   0.128048E+02   0.170982E+01   0.965028E+00   0.131238E+02   0.172922E+01   0.147844E-01   0.258472E-01   0.584076E+02   0.148102E+00   0.238133E+00   0.965028E+00
   0.160738E+00   0.296243E+01   0.156528E+01   0.310467E+00   0.117734E+02   0.170495E+01   0.855598E+00   0.143069E+02   0.161464E+01   0.141101E-02   0.622723E-01   0.661692E+02   0.160738E+00   0.232594E+00   0.855598E+00
   0.163241E+00   0.257373E+01   0.150647E+01   0.314249E+00   0.121695E+02   0.162843E+01   0.897425E+00   0.906733E+01   0.167108E+01   0.247312E-02   0.557021E-01   0.635722E+02   0.163241E+00   0.247236E+00   0.897425E+00
   0.173327E+00   0.301164E+01   0.150394E+01   0.320771E+00   0.128373E+02   0.170952E+01   0.844266E+00   0.135087E+02   0.167841E+01   0.901711E-02   0.622707E-01    0.62399E+02   0.173327E+00   0.241289E+00   0.844266E+00
   0.166901E+00   0.308319E+01   0.153403E+01   0.309279E+00   0.113173E+02   0.166452E+01   0.935078E+00   0.127252E+02   0.164045E+01   0.460438E-02   0.502129E-01   0.687136E+02   0.166901E+00   0.233329E+00   0.935078E+00
   0.165142E+00   0.297315E+01    0.15356E+01   0.307125E+00   0.103911E+02   0.168849E+01   0.965049E+00   0.175749E+02   0.170414E+01     0.1488E-02    0.67305E-01   0.666657E+02   0.165142E+00   0.226373E+00   0.965049E+00
   0.164636E+00   0.256636E+01   0.145286E+01   0.309958E+00   0.110871E+02   0.170856E+01   0.907585E+00     0.8948E+01   0.166966E+01   0.327156E-02   0.833148E-01   0.641933E+02   0.164636E+00   0.227592E+00   0.907585E+00
   0.162084E+00   0.250848E+01   0.149643E+01   0.302322E+00   0.113158E+02   0.169603E+01   0.792308E+00   0.167129E+02   0.164448E+01   0.567248E-03   0.808255E-01   0.664569E+02   0.162084E+00   0.229628E+00   0.792308E+00
   0.160076E+00   0.281087E+01   0.153738E+01   0.316762E+00   0.117296E+02   0.165279E+01   0.919888E+00   0.148238E+02   0.164565E+01   0.308396E-02   0.423484E-01   0.689114E+02   0.160076E+00   0.241626E+00   0.919888E+00
   0.171754E+00   0.308386E+01   0.149405E+01   0.321347E+00   0.125301E+02   0.168088E+01   0.916177E+00   0.146324E+02   0.166888E+01   0.301548E-02   0.718478E-01   0.703092E+02   0.171754E+00   0.241107E+00   0.916177E+00
   0.172866E+00   0.350446E+01   0.150472E+01   0.333915E+00   0.121381E+02   0.168617E+01   0.848318E+00   0.128118E+02    0.16601E+01    0.16843E-02   0.553676E-01   0.699288E+02   0.172866E+00   0.240089E+00   0.848318E+00
   0.173825E+00   0.332423E+01   0.149037E+01   0.333103E+00   0.122659E+02   0.167907E+01   0.897118E+00   0.171275E+02   0.168591E+01   0.437146E-02   0.227629E-01   0.694787E+02   0.173825E+00   0.243127E+00   0.897118E+00
   0.176341E+00   0.378676E+01   0.151874E+01   0.340019E+00   0.130886E+02   0.169826E+01   0.942168E+00   0.111031E+02   0.168564E+01   0.314121E-02   0.458952E-01    0.71444E+02   0.176341E+00   0.244538E+00   0.942168E+00
   0.180609E+00   0.356298E+01   0.146604E+01   0.335702E+00   0.121903E+02   0.165832E+01   0.933418E+00   0.144473E+02   0.165884E+01   0.938592E-02   0.335093E-01   0.690318E+02   0.180609E+00   0.244015E+00   0.933418E+00
   0.173166E+00   0.337806E+01   0.149605E+01   0.324999E+00    0.10932E+02   0.165446E+01   0.971823E+00   0.125011E+02   0.161566E+01   0.621053E-02   0.730304E-01   0.641948E+02   0.173166E+00   0.235571E+00   0.971823E+00
   0.165296E+00   0.300165E+01   0.151471E+01   0.323709E+00   0.124379E+02   0.168415E+01   0.921228E+00     0.1192E+02   0.158546E+01   0.196793E-02   0.593381E-01   0.665541E+02   0.165296E+00   0.241728E+00   0.921228E+00
   0.161824E+00   0.316843E+01   0.154502E+01   0.318059E+00   0.124295E+02   0.170956E+01   0.891287E+00    0.11829E+02   0.162158E+01   0.229707E-02   0.833947E-01    0.63719E+02   0.161824E+00   0.234084E+00   0.891287E+00
   0.171148E+00   0.305353E+01   0.149454E+01   0.325298E+00   0.130005E+02   0.169477E+01    0.98847E+00   0.163551E+02   0.168464E+01   0.635303E-02   0.265311E-01   0.664953E+02   0.171148E+00   0.243517E+00    0.98847E+00
   0.167742E+00   0.335157E+01   0.154757E+01   0.322957E+00   0.116284E+02   0.163922E+01   0.929269E+00   0.128725E+02   0.164892E+01   0.347172E-02    0.38191E-01   0.701327E+02   0.167742E+00   0.242311E+00   0.929269E+00
   0.164173E+00   0.289663E+01   0.152512E+01    0.31776E+00   0.109938E+02   0.163969E+01   0.986658E+00   0.686048E+01   0.168207E+01   0.620275E-03   0.587282E-01   0.673523E+02   0.164173E+00   0.240147E+00   0.986658E+00
   0.172114E+00   0.340622E+01   0.150869E+01   0.330317E+00   0.118048E+02   0.165451E+01   0.896747E+00   0.116742E+02    0.16877E+01   0.164966E-02   0.443874E-01   0.706252E+02   0.172114E+00   0.242508E+00   0.896747E+00
   0.167075E+00   0.343713E+01   0.154457E+01   0.335867E+00   0.127794E+02   0.165455E+01    0.91894E+00   0.783635E+01   0.164698E+01   0.578597E-02   0.593882E-01   0.671701E+02   0.167075E+00   0.249963E+00    0.91894E+00
    0.16992E+00   0.329536E+01   0.150709E+01   0.336269E+00   0.130441E+02   0.168106E+01   0.925965E+00   0.859021E+01    0.16578E+01   0.499078E-02   0.390541E-01    0.69989E+02    0.16992E+00    0.24792E+00   0.925965E+00
   0.173959E+00   0.327724E+01   0.149462E+01   0.323273E+00   0.116751E+02   0.166875E+01    0.84802E+00   0.121707E+02   0.168471E+01    0.50368E-02   0.360711E-01   0.706132E+02   0.173959E+00    0.23823E+00    0.84802E+00
   0.159191E+00   0.270163E+01   0.152248E+01   0.319094E+00   0.118716E+02   0.166338E+01   0.949117E+00   0.134845E+02   0.164433E+01   0.595418E-02   0.555922E-01   0.668071E+02   0.159191E+00   0.242392E+00   0.949117E+00
   0.167607E+00   0.309199E+01   0.153714E+01   0.304552E+00   0.101502E+02   0.161102E+01   0.924152E+00   0.117634E+02   0.164968E+01   0.880106E-03   0.828106E-01   0.655759E+02   0.167607E+00   0.232823E+00   0.924152E+00
   0.162939E+00   0.281982E+01   0.149002E+01    0.32041E+00   0.118116E+02    0.16747E+01   0.900927E+00    0.18055E+02   0.168401E+01   0.479049E-02   0.770323E-01   0.666923E+02   0.162939E+00   0.238324E+00   0.900927E+00
   0.173715E+00   0.324002E+01   0.147944E+01   0.335591E+00   0.120897E+02   0.162579E+01   0.851824E+00   0.160021E+02   0.168956E+01   0.131672E-02   0.471007E-01   0.676744E+02   0.173715E+00   0.250748E+00   0.851824E+00
   0.173345E+00   0.349816E+01   0.154416E+01   0.326543E+00   0.123488E+02   0.168703E+01   0.854038E+00    0.12325E+02   0.167392E+01   0.560396E-02   0.348522E-01   0.683998E+02   0.173345E+00   0.241517E+00   0.854038E+00
   0.171313E+00   0.352238E+01   0.153818E+01   0.327038E+00   0.128453E+02   0.172145E+01   0.913736E+00   0.163753E+02   0.168159E+01   0.702376E-02   0.310907E-01   0.676433E+02   0.171313E+00   0.237516E+00   0.913736E+00
   0.167815E+00   0.294858E+01   0.149108E+01   0.317629E+00   0.126152E+02   0.171822E+01   0.946311E+00   0.125655E+02   0.165596E+01   0.217792E-02   0.905236E-01   0.671186E+02   0.167815E+00   0.234999E+00   0.946311E+00
   0.172227E+00   0.336745E+01   0.152027E+01   0.324458E+00   0.120623E+02    0.17035E+01    0.98455E+00   0.214675E+02     0.1675E+01   0.331709E-02   0.292025E-01   0.677254E+02   0.172227E+00   0.236324E+00    0.98455E+00
   0.166242E+00   0.300009E+01   0.151911E+01   0.317084E+00   0.122643E+02    0.16766E+01   0.910646E+00   0.689059E+01   0.168651E+01   0.160353E-02   0.582456E-01   0.705835E+02   0.166242E+00   0.239289E+00   0.910646E+00
   0.185385E+00   0.375809E+01   0.149117E+01   0.331463E+00   0.128447E+02   0.168026E+01   0.934566E+00   0.121465E+02   0.164952E+01    0.72536E-02   0.224878E-01   0.664792E+02   0.185385E+00   0.244179E+00   0.934566E+00
    0.16808E+00   0.320863E+01   0.152275E+01   0.324647E+00   0.115006E+02   0.160992E+01    0.93722E+00   0.115675E+02   0.163007E+01   0.933967E-03   0.504963E-01   0.685029E+02    0.16808E+00   0.246316E+00    0.93722E+00
   0.181046E+00    0.36555E+01   0.149897E+01   0.331834E+00   0.123206E+02   0.168566E+01   0.991002E+00   0.192591E+02   0.169353E+01   0.859673E-02   0.103536E-01   0.666509E+02   0.181046E+00   0.241402E+00   0.991002E+00
   0.173357E+00   0.364433E+01   0.153309E+01   0.338131E+00    0.12807E+02   0.169274E+01   0.951867E+00   0.149725E+02   0.166671E+01   0.200282E-02   0.476419E-01   0.714805E+02   0.173357E+00   0.245172E+00   0.951867E+00
   0.164675E+00   0.310765E+01    0.15451E+01   0.308265E+00   0.104462E+02   0.164494E+01   0.987629E+00   0.162712E+02   0.171126E+01   0.158883E-02   0.860019E-01   0.662735E+02   0.164675E+00   0.230962E+00   0.987629E+00
    0.17023E+00    0.37533E+01   0.155223E+01   0.334134E+00   0.118568E+02   0.163155E+01   0.927283E+00   0.160351E+02   0.167194E+01   0.254629E-02   0.619676E-01   0.689022E+02    0.17023E+00   0.245707E+00   0.927283E+00
   0.183734E+00   0.448129E+01   0.154201E+01   0.341569E+00   0.122327E+02    0.16627E+01   0.852237E+00   0.164166E+02   0.166781E+01   0.385295E-02   0.585774E-01   0.660278E+02   0.183734E+00   0.242917E+00   0.852237E+00
   0.186558E+00   0.420764E+01   0.150506E+01   0.344491E+00   0.127688E+02   0.167445E+01   0.929525E+00   0.177739E+02   0.167632E+01   0.683746E-02   0.336443E-01   0.697469E+02   0.186558E+00   0.246398E+00   0.929525E+00
